feedback_text,sentiment,topic,urgency,action,source
We need to streamline the AI demos for all AI training courses,negative,equipment/setup,high,modify course content,real
Room size is small,negative,venue,high,contact venue,real
Noise outside the room in the hall,negative,venue,high,contact venue,real
The lunch was so cold and food is dry,negative,catering,high,contact venue,real
No variety of food options,negative,catering,medium,contact venue,real
Coffee machine is not working,negative,venue,high,contact venue,real
The content is so outdated,negative,content,high,modify course content,real
Excellent,positive,overall,low,none,real
The instructor is really professional,positive,instructor,low,none,real
"Wasted money, I didn't pay for this",negative,overall,high,escalate,real
I would totally recommend this company to my colleagues,positive,overall,low,none,real
No comment,neutral,overall,low,none,real
Cool,neutral,overall,low,none,real
AC is so cold,negative,venue,high,contact venue,real
Room temp is hot,negative,venue,high,contact venue,real
Ok,neutral,overall,low,none,real
Good,positive,overall,low,none,real
i still haven't received the printed materials,negative,material,high,inform coordinators,real
the materials i received is for the wrong course,negative,material,high,inform coordinators,real
i was given another venue's location! i missed day 1!,negative,venue,high,escalate,real
we need more breaks,negative,overall,medium,inform coordinators,real
too much theory,negative,content,high,inform instructor,real
so boring i almost fell asleep,negative,content,high,inform instructor,real
rasict instructor with really bad attitude,negative,content,high,escalate,real
It went as expected,neutral,overall,low,none,real
Menu was simple but fine,neutral,catering,low,none,real
Good session; no issues to report,positive,overall,low,none,real
Chairs were uncomfortable for long sessions,negative,venue,high,contact venue,real
Lunch arrived late and was cold,negative,catering,high,contact venue,real
Restrooms were not clean during the break,negative,venue,low,contact venue,real
Overall experience was great; well organized event,positive,overall,low,none,real
Microphone kept cutting out when moving around,negative,equipment/setup,high,inform coordinators,real
HDMI cables were loose and caused screen flickers,negative,equipment/setup,low,inform instructor,real
Food options were great and everyone enjoyed the variety,positive,catering,low,none,real
The lunch portion was too small for everyone,negative,catering,high,contact venue,real
Everything went smoothly and according to plan,positive,overall,low,none,real
Lighting in the hall was poor and tiring on the eyes,negative,venue,high,contact venue,real
Excellent teamwork by the organizing staff,positive,overall,low,none,real
Case studies were practical and well chosen - related to my field,positive,content,low,none,real
no issues,neutral,overall,low,none,real
"Technical setup was flawless, great job!",positive,equipment/setup,low,none,real
Examples were not relevant to our industry,negative,content,high,inform instructor,real
Coverage aligned with the course outline,positive,content,low,none,real
Projector kept turning off during the session,negative,equipment/setup,medium,inform coordinators,real
Setup was standard; nothing unusual,neutral,equipment/setup,low,none,real
Water bottles ran out quickly,negative,catering,medium,contact venue,real
Great experince,positive,overall,low,none,real
Topics were interesting but a bit repetitive,negative,content,low,modify course content,real
Instructor skipped some important topics,negative,instructor,high,inform coordinators,real
NA,neutral,overall,low,none,real
Thank you,positive,overall,low,none,real
The session was boring; hard to stay engaged,negative,content,high,inform instructor,real
 Important topics were skipped,negative,content,high,escalate,real
HDMI cable was loose and caused screen flickers,negative,equipment/setup,medium,inform coordinators,real
Venue was fine; nothing special,neutral,venue,low,none,real
Great experience overall,positive,overall,low,none,real
Content matched the agenda,neutral,content,low,none,real
"Slides will be shared later, as expected",neutral,material,low,none,real
Examples were not relevant to our context,negative,content,medium,inform instructor,real
Very little variety of food options,negative,catering,medium,contact venue,real
"Personally, Not worth the price paid",negative,overall,high,escalate,real
Content felt outdated for our industry,negative,content,high,modify course content,real
Case studies were practical and well chosen,positive,content,low,none,real
Lighting was poor and tiring on the eyes,negative,venue,high,contact venue,real
"From my side, I would totally recommend this company to colleagues",positive,overall,low,none,real
Venue was convenient and comfortable,positive,venue,low,none,real
Overall experience was great; well organized event,positive,overall,low,none,real
Case studies were practical and well chosen,positive,content,low,none,real
Too much hallway noise disrupted the session,negative,venue,high,contact venue,real
Received materials for the wrong course,negative,material,high,inform coordinators,real
AC was freezing; several people complained,negative,venue,high,contact venue,real
I think No comment,neutral,overall,low,none,real
Important topics were skipped,negative,content,high,escalate,real
Room size was too small for the group,negative,venue,high,contact venue,real
"Technical setup was flawless, great job!",positive,equipment/setup,low,none,real
 Examples were not relevant to our context,negative,content,high,inform instructor,real
Content was acceptable,neutral,content,low,none,real
Printed materials did not arrive in time,negative,material,medium,inform coordinators,real
Lunch was cold and the food was dry,negative,catering,high,contact venue,real
"Too much theory, not enough practical exercises",negative,content,high,inform instructor,real
 Explanations were unclear in several parts,negative,instructor,medium,inform coordinators,real
I think Everything went smoothly and according to plan,positive,overall,low,none,real
 I would totally recommend this company to colleagues,positive,overall,low,none,real
Conference room was too hot and stuffy,negative,venue,medium,contact venue,real
No issues to report,neutral,overall,low,none,real
Not worth the price paid,negative,overall,high,escalate,real
Equipment was adequate,neutral,equipment/setup,low,none,real
"From my side, Disappointed with the overall experience",negative,overall,high,escalate,real
I think wifi was unstable throughout the day,negative,equipment/setup,high,inform coordinators,real
Disappointed with the overall experience,negative,overall,high,escalate,real
Ok; no major issues,neutral,overall,low,none,real
Pace was too slow for the group,negative,content,medium,inform instructor,real
I would totally recommend this company to colleagues,positive,overall,low,none,real
Standard room; acceptable,neutral,venue,low,none,real
"From my side, Examples were not relevant to our context",negative,content,high,inform instructor,real
Very little variety of food options,negative,catering,medium,contact venue,real
wifi was unstable throughout the day,negative,equipment/setup,medium,inform coordinators,real
"From my side, Water bottles ran out quickly",negative,catering,high,contact venue,real
Tone came across as dismissive of questions,negative,instructor,high,inform coordinators,real
Everything worked as expected; smooth setup,positive,equipment/setup,low,none,real
Portion sizes were too small,negative,catering,high,contact venue,real
Wifi was unstable throughout the day,negative,equipment/setup,high,inform coordinators,real
I think Venue was fine; nothing special,neutral,venue,low,none,real
Explanations were unclear in several parts,negative,instructor,high,inform coordinators,real
Explanations were unclear in several parts,negative,instructor,medium,inform coordinators,real
Instructor was professional and very knowledgeable,positive,instructor,low,none,real
Topics were interesting and engaging,positive,content,low,none,real
Materials were standard,neutral,material,low,none,real
Room layout worked well for activities,positive,venue,low,none,real
WiFi was unstable throughout the day,negative,equipment/setup,high,inform coordinators,real
Speakers had a constant hum,negative,equipment/setup,low,inform instructor,real
Topics were interesting and engaging,positive,content,low,none,real
"As the trainer, Too much hallway noise disrupted the session",negative,venue,medium,contact venue,real
internet was unstable throughout the last 2 days,negative,equipment/setup,high,inform coordinators,real
Speakers had a constant hum,negative,equipment/setup,high,inform coordinators,real
Instructor was late and rushed through sections,negative,instructor,medium,escalate,real
I would totally recommend this company to colleagues,positive,overall,low,none,real
 Pace was too slow for the group,negative,content,medium,inform instructor,real
Laptop adapter was missing at the start,negative,equipment/setup,medium,inform coordinators,real
I think Tone came across as dismissive of questions,negative,instructor,high,escalate,real
topics were interesting and engaging,positive,content,low,none,real
Lunch arrived late and was cold,negative,catering,high,contact venue,real
I think Microphone kept cutting out when moving around,negative,equipment/setup,high,inform coordinators,real
I think Coverage aligned with the course outline,positive,content,low,none,real
"From my side, Overall experience was great; wellâ€‘organized event",positive,overall,low,none,real
Coffee machine was not working,negative,catering,high,contact venue,real
 Coverage aligned with the course outline,positive,content,low,none,real
"From my side, The session was boring; hard to stay engaged",negative,content,high,inform instructor,real
Room size was too small for the group,negative,venue,medium,contact venue,real
Handled questions patiently and thoroughly,positive,instructor,low,none,real
I think Equipment was adequate,neutral,equipment/setup,low,none,real
Water bottles ran out quickly,negative,catering,high,contact venue,real
"I think Too much theory, not enough practical exercises",negative,content,medium,inform instructor,real
I think Topics were interesting and engaging,positive,content,low,none,real
Materials were clear and well organized,positive,material,low,none,real
Delivery was fine,neutral,instructor,low,none,real
I think Content matched the agenda,neutral,content,low,none,real
I think Needed to manage time better; skipped Q&A,negative,instructor,high,inform coordinators,real
Great delivery and facilitation,positive,instructor,low,none,real
NA,neutral,overall,low,none,real
Content felt outdated for our industry,negative,content,high,modify course content,real
Materials were clear and well organized,positive,material,low,none,real
Equipment were all functional unlike the last time,positive,equipment/setup,low,none,real
 Everything went smoothly and according to plan,positive,overall,low,none,real
"From my side, Everything went smoothly and according to plan",positive,overall,low,none,real
"From my side, Coverage aligned with the course outline",positive,content,low,none,real
I think Laptop adapter was missing at the start,negative,equipment/setup,high,inform coordinators,real
I think Catering was okay,neutral,catering,low,none,real
I think Handouts were missing several pages,negative,material,high,inform coordinators,real
No specific comment,neutral,overall,low,none,real
Needed to manage time better; skipped Q&A,negative,instructor,high,inform coordinators,real
"From my side, Too much hallway noise disrupted the session",negative,venue,high,contact venue,real
I think Examples were not relevant to our context,negative,content,medium,inform instructor,real
Laptop adapter was missing at the start,negative,equipment/setup,medium,inform coordinators,real
Everything went smoothly and according to plan,positive,overall,low,none,real
Catering was okay,neutral,catering,low,none,real
I think Very little variety of food options,negative,catering,medium,contact venue,synthetic
Handouts were missing several pages,negative,material,medium,inform coordinators,synthetic
Great delivery and facilitation,positive,instructor,low,none,synthetic
 Materials were standard,neutral,material,low,none,synthetic
The session was boring; hard to stay engaged,negative,content,high,inform instructor,synthetic
I think Venue was convenient and comfortable,positive,venue,low,none,synthetic
I think Not worth the price paid,negative,overall,high,escalate,synthetic
 The session was boring; hard to stay engaged,negative,content,high,inform instructor,synthetic
"From my side, Tone came across as dismissive of questions",negative,instructor,medium,inform coordinators,synthetic
I think Setup was standard; nothing unusual,neutral,equipment/setup,low,none,synthetic
I think Important topics were skipped,negative,content,high,escalate,synthetic
The room smeeled so bad we had to change it and waited a lot,negative,venue,high,escalate,synthetic
Slides contained several factual errors,negative,material,high,inform coordinators,synthetic
Would definitely NOT recommend this training,negative,overall,high,escalate,synthetic
"Demo machine was running extremely slow, wasting a lot of time",negative,equipment/setup,high,inform coordinators,synthetic
The catered food caused an allergic reaction for one delegate,negative,catering,high,contact venue,synthetic
The instructor seemed unprepared for the advanced questions,negative,instructor,medium,inform coordinators,synthetic
Handouts were informative and high quality,positive,material,low,none,synthetic
All equipment worked perfectly,positive,equipment/setup,low,none,synthetic
Excellent experience from start to finish,positive,overall,low,none,synthetic
Content was relevant and up-to-date,positive,content,low,none,synthetic
Good location with ample parking,positive,venue,low,none,synthetic
A truly great learning opportunity,positive,overall,low,none,synthetic
Fundamental concepts were not explained well enough,negative,content,high,modify course content,synthetic
Too much theory and not enough hands-on practice,negative,content,high,modify course content,synthetic
Digital materials were shared promptly,positive,material,low,none,synthetic
The room was overcrowded and very hot,negative,venue,medium,contact venue,synthetic
Material was acceptable,neutral,material,low,none,synthetic
Catering was acceptable,neutral,catering,low,none,synthetic
Instructor made complex topics easy to understand,positive,instructor,low,none,synthetic
"Poor quality, inedible food options",negative,catering,high,contact venue,synthetic
"Too many personal anecdotes, not enough focus on the topic",negative,instructor,medium,inform instructor,synthetic
Lunch arrived 45 minutes late,negative,catering,high,contact venue,synthetic
Fast Wi-Fi and good projector quality,positive,equipment/setup,low,none,synthetic
Restrooms were dirty and poorly maintained,negative,venue,high,contact venue,synthetic
The course workbook is a great reference,positive,material,low,none,synthetic
The last two modules were rushed and unclear,negative,content,high,escalate,synthetic
Constant disruptive noise from construction outside,negative,venue,high,contact venue,synthetic
The primary monitor kept turning off,negative,equipment/setup,high,contact venue,synthetic
Not much new information,neutral,content,low,none,synthetic
I feel like the training was a bait-and-switch,negative,overall,high,inform coordinators,synthetic
Very professional and helpful instructor,positive,instructor,low,none,synthetic
Venue was acceptable,neutral,venue,low,none,synthetic
"It was okay, met basic expectations",neutral,overall,low,none,synthetic
The printed materials were for an entirely different course,negative,material,medium,inform coordinators,synthetic
The setup was seamless and efficient,positive,equipment/setup,low,none,synthetic
It was what I expected,positive,overall,low,none,synthetic
Material was well-structured and comprehensive,positive,content,low,none,synthetic
Comfortable seating and great atmosphere,positive,venue,low,none,synthetic
A very disappointing and unorganized event,negative,overall,high,escalate,synthetic
The venue part was neither good nor bad,neutral,venue,low,none,synthetic
I regret spending my company's money on this,negative,overall,high,escalate,synthetic
"Five stars, everything was perfect",positive,overall,low,none,synthetic
Coffee breaks were very refreshing,positive,catering,low,none,synthetic
Fantastic delivery by the trainer,positive,instructor,low,none,synthetic
Unpleasant smell in the training room,negative,venue,high,contact venue,synthetic
Only sugary snacks were provided; no healthy alternatives,negative,catering,medium,contact venue,synthetic
The material part was neither good nor bad,neutral,material,low,none,synthetic
The instructor showed clear bias against certain questions,negative,instructor,high,inform coordinators,synthetic
Great variety of snacks and drinks,positive,catering,low,none,synthetic
Please contact venue since this affects the equipment/setup quality,neutral,equipment/setup,high,contact venue,synthetic
We faced limited seating during the setup but it got solved,negative,equipment/setup,low,inform coordinators,synthetic
"The 5-day program was well-paced and challenging. The instructor created a great, warm environment for participants.",positive,instructor,low,none,synthetic
"Air conditioning was set too high all five days, making it very uncomfortable.",negative,venue,high,contact venue,synthetic
"The 10-day course materials felt very comprehensive, but a few chapters were clearly out of date.",neutral,content,medium,modify course content,synthetic
The trainer was exceptional. He made the long 10-day course enjoyable and kept us engaged throughout the entire time.,positive,instructor,low,none,synthetic
"Only sugary snacks were provided; for a 5-day training, a healthier variety of drinks and snacks is essential.",negative,catering,medium,contact venue,synthetic
The classroom for the 10-day course was a bit cramped. We needed more space for the group exercises and practical work.,negative,venue,high,contact venue,synthetic
The Wi-Fi for the group activities was extremely unreliable,negative,equipment/setup,high,contact venue,synthetic
Very good and professional trainer. I enjoyed and found this 5-day course most helpful. Thank you.,positive,instructor,low,none,synthetic
The course was extremely useful and well taught. It met all of my expectations for a 5-day intensive.,positive,overall,low,none,synthetic
Please provide a printed manual next time. Having to rely solely on the digital materials for the whole 10 days was tough on the eyes.,negative,material,medium,modify course content,synthetic
The presenter had a great delivery style; tips and tricks on saving time have been super helpful. Great for the 5-day structure.,positive,instructor,low,none,synthetic
The general ambiance of the training room for the 10-day program was conducive to learning. Good temperature and lighting.,positive,venue,low,none,synthetic
I felt a bit rushed in the last two days of the 10-day course; we needed more time to absorb the advanced material.,negative,overall,medium,modify course content,synthetic
An awesome work. Content was relevant and well presented. Catering was great as usual for the week-long course.,positive,catering,low,none,synthetic
The course instructor was highly knowledgeable and helped me to challenge myself throughout the 5 days.,positive,instructor,low,none,synthetic
The practical exercises for the 5-day course were very relevant to our current needs. Excellent!,positive,content,low,none,synthetic
"The 10-day training was extremely comprehensive, but the content could be streamlined to cover less in more detail.",neutral,content,low,modify course content,synthetic
The presenter was clearly reading from the slides too much. I felt disengaged.,negative,instructor,medium,inform coordinators,synthetic
"Wonderful, clean, and modern venue. It was a pleasure to spend 10 days here. Five stars!",positive,venue,low,none,synthetic
Instructor's pace was too fast for the 5 days.,negative,instructor,medium,inform instructor,synthetic
"Excellent venue, very modern for the 10-day course.",positive,venue,low,none,synthetic
Content felt a little basic over the 5 days.,neutral,content,low,modify course content,synthetic
Trainer was highly engaging for the whole 10 days.,positive,instructor,low,none,synthetic
Lunch was dry and cold.,negative,catering,high,contact venue,synthetic
Room was too small for our 10-day group size.,negative,venue,high,contact venue,synthetic
Very useful and informative 5-day course.,positive,overall,low,none,synthetic
Projector kept disconnecting every 10-day session.,negative,equipment/setup,high,contact venue,synthetic
Instructor was extremely professional.,positive,instructor,low,none,synthetic
Course exceeded my expectations.,positive,overall,low,none,synthetic
Handouts were missing pages,negative,material,high,inform coordinators,synthetic
"Great teaching, clear examples over the 10 days.",positive,instructor,low,none,synthetic
Chairs were too uncomfortable for a 5-day event.,negative,venue,medium,contact venue,synthetic
"Too much lecture, less practice in 10-day course.",negative,content,medium,modify course content,synthetic
Good coffee and tea provided during the 5 days.,positive,catering,low,none,synthetic
Trainer was very supportive.,positive,instructor,low,none,synthetic
Practical parts were excellent in the 5-day course.,positive,content,low,none,synthetic
10-day content needs simplification.,neutral,content,low,modify course content,synthetic
Trainer seemed unprepared for the 5-day class.,negative,instructor,high,inform coordinators,synthetic
Perfect location and setup for the 10 days.,positive,venue,low,none,synthetic
The instructor was extremely knowledgeable.,positive,instructor,low,none,synthetic
"Venue lighting was too dim, causing eye strain.",negative,venue,high,contact venue,synthetic
Material relevance was perfect for my job role.,positive,content,low,none,synthetic
The group exercises were highly valuable.,positive,content,low,none,synthetic
Daily lunch boxes lacked fresh vegetables.,negative,catering,medium,contact venue,synthetic
Seating was highly uncomfortable after the first day.,negative,venue,high,contact venue,synthetic
The course structure was logical and easy to follow.,positive,overall,low,none,synthetic
Audio equipment was muffled at the back of the room.,negative,equipment/setup,high,contact venue,synthetic
Trainer kept the energy high throughout.,positive,instructor,low,none,synthetic
I highly recommend this program to colleagues.,positive,overall,low,none,synthetic
Digital resources were disorganized and hard to navigate.,negative,material,medium,inform coordinators,synthetic
The instructor effectively managed all questions.,positive,instructor,low,none,synthetic
Temperature control was inconsistent in the room.,negative,venue,medium,contact venue,synthetic
"Too many theoretical sections, needs more case studies.",negative,content,medium,modify course content,synthetic
Refreshments were consistently fresh and high-quality.,positive,catering,low,none,synthetic
Trainer provided excellent personalized feedback.,positive,instructor,low,none,synthetic
The course was a perfect blend of theory and practice.,positive,content,low,none,synthetic
Content was a bit shallow for this length of training.,neutral,content,low,modify course content,synthetic
Instructor spent too much time on personal stories.,negative,instructor,medium,inform coordinators,synthetic
Check-in process at the venue was fast and simple.,positive,venue,low,none,synthetic
Instructor provided excellent individual attention.,positive,instructor,low,none,synthetic
The exit signs were obstructed.,negative,venue,high,contact venue,synthetic
Content was extremely well paced.,positive,content,low,none,synthetic
No working microphone was available for participants.,negative,equipment/setup,medium,contact venue,synthetic
The variety of herbal teas was appreciated.,positive,catering,low,none,synthetic
The manual organization was confusing.,negative,material,medium,modify course content,synthetic
Worth every penny and minute spent.,positive,overall,low,none,synthetic
Trainer showed favoritism to certain attendees.,negative,instructor,high,inform coordinators,synthetic
The communal areas were spotlessly clean.,positive,venue,low,none,synthetic
The scope of the content was too broad.,neutral,content,low,modify course content,synthetic
The fresh fruit options were limited.,negative,catering,low,contact venue,synthetic
The best training I have attended this year.,positive,overall,low,none,synthetic
The desktop computers were outdated and slow.,negative,equipment/setup,high,contact venue,synthetic
Instructor provided excellent supplementary examples.,positive,instructor,low,none,synthetic
The quality of the catered food was exceptional.,positive,catering,low,none,synthetic
The post-course assessment link was broken.,negative,material,high,inform coordinators,synthetic
My expectations were thoroughly surpassed.,positive,overall,low,none,synthetic
Trainer was too reliant on the accompanying slides.,negative,instructor,medium,inform coordinators,synthetic
The room setup allowed for easy movement.,positive,venue,low,none,synthetic
Some content was factually inaccurate.,negative,content,high,modify course content,synthetic
The optional exercises were very beneficial.,positive,content,low,none,synthetic
Charging cables were not provided.,negative,equipment/setup,low,contact venue,synthetic
The water was lukewarm.,negative,catering,low,contact venue,synthetic
"I misplaced my copy, an extra digital copy would be great.",positive,material,low,none,synthetic
I left feeling entirely uninspired.,negative,overall,medium,escalate,synthetic
Instructor was patient and gave everyone a chance to speak.,positive,instructor,low,none,synthetic
The venue was not easily accessible for wheelchairs.,negative,venue,high,contact venue,synthetic
The introduction to the subject was too long.,negative,content,medium,modify course content,synthetic
The provided juice was highly sugary.,negative,catering,low,contact venue,synthetic
A professionally delivered and excellent program.,positive,overall,low,none,synthetic
The monitor brightness was incorrectly set.,negative,equipment/setup,low,contact venue,synthetic
Trainer was clearly passionate about the subject.,positive,instructor,low,none,synthetic
No dedicated smoking area was available.,neutral,venue,low,contact venue,synthetic
The materials were exactly what I needed.,positive,material,low,none,synthetic
Highly disappointing course content.,negative,content,high,escalate,synthetic
Instructor offered relevant advice on career progression.,positive,instructor,low,none,synthetic
Excellent selection of snacks during the break.,positive,catering,low,none,synthetic
I found the course completely pointless.,negative,overall,high,escalate,synthetic
The instructor yelled at a participant for correcting a slide.,negative,instructor,high,escalate,synthetic
"Trainer made several inappropriate, offensive jokes.",negative,instructor,high,escalate,synthetic
Instructor was openly hostile towards female attendees.,negative,instructor,high,escalate,synthetic
The trainer mocked a colleague's question publicly.,negative,instructor,high,escalate,synthetic
Instructor repeatedly used profanity in class.,negative,instructor,high,escalate,synthetic
The trainer seemed drunk and was slurring words.,negative,instructor,high,escalate,synthetic
Instructor refused to answer questions from certain people.,negative,instructor,high,escalate,synthetic
"The trainer displayed clear, unprofessional bias.",negative,instructor,high,escalate,synthetic
Instructor made a discriminatory comment about an accent.,negative,instructor,high,escalate,synthetic
The trainer insulted the management's course choices.,negative,instructor,high,escalate,synthetic
Instructor stormed out of the room mid-session.,negative,instructor,high,escalate,synthetic
Trainer gossiped about past course participants.,negative,instructor,medium,escalate,synthetic
The instructor had an unacceptable attitude all week.,negative,instructor,high,escalate,synthetic
Trainer was rude to venue staff in front of us.,negative,instructor,medium,escalate,synthetic
"Instructor spent too much time on personal, divisive politics.",negative,instructor,medium,escalate,synthetic
The trainer was visibly aggressive when questioned.,negative,instructor,high,escalate,synthetic
Instructor threatened to fail those who disagreed.,negative,instructor,high,escalate,synthetic
Trainer sexualized an example during the lecture.,negative,instructor,high,escalate,synthetic
The instructor singled out one participant for criticism.,negative,instructor,high,escalate,synthetic
Trainer arrived two hours late without apology.,negative,instructor,high,escalate,synthetic
The security guard was rude and dismissive when I asked for directions.,negative,venue,high,contact venue,synthetic
Valet service lost my car keys and offered no apology.,negative,venue,high,escalate,synthetic
Cleaning staff entered the room loudly mid-lecture.,negative,venue,medium,contact venue,synthetic
The reception desk staff were unhelpful and clearly did not know the schedule.,negative,venue,medium,contact venue,synthetic
A staff member was seen taking photos of attendees during the break.,negative,venue,high,escalate,synthetic
"Valet staff drove my car recklessly and scratched the bumper, what kind of a joke is this?",negative,venue,high,escalate,real
The porter refused to help carry heavy equipment upstairs.,negative,venue,medium,contact venue,real
Venue maintenance staff were smoking right outside the main entrance.,negative,venue,medium,contact venue,synthetic
Catering server was openly complaining about their job to attendees.,negative,catering,low,contact venue,synthetic
The front desk was unattended for over 15 minutes during a key moment.,negative,venue,high,contact venue,synthetic
A staff member was listening in on a private conversation near the door.,negative,venue,medium,contact venue,synthetic
Valet service took an unacceptable 30 minutes to retrieve my car.,negative,venue,medium,contact venue,real
Staff were using the presentation room computer during lunch.,negative,venue,low,contact venue,synthetic
A cleaner was vacuuming right next to the classroom door during a session.,negative,venue,high,contact venue,synthetic
Receptionist gave me the wrong WiFi password twice.,negative,venue,medium,contact venue,synthetic
The staff member helping with A/V rolled their eyes when asked for assistance.,negative,venue,high,contact venue,synthetic
Valet overcharged me significantly and refused to adjust the rate.,negative,venue,high,escalate,synthetic
The venue staff were constantly on their phones near the training room.,negative,venue,low,contact venue,synthetic
A catering staff member made a comment about my portion size.,negative,catering,medium,contact venue,synthetic
"Security refused to let me in late, despite my prior arrangement.",negative,venue,high,contact venue,synthetic
"It was fine, neither great nor terrible.",neutral,overall,low,none,synthetic
I got what I expected from the agenda.,neutral,overall,low,none,synthetic
The course met basic requirements.,neutral,overall,low,none,synthetic
"A standard course, nothing exceptional.",neutral,overall,low,none,synthetic
The training was acceptable.,neutral,overall,low,none,synthetic
It was an average experience.,neutral,overall,low,none,synthetic
No strong feelings either way.,neutral,overall,low,none,synthetic
It covered the material sufficiently.,neutral,overall,low,none,synthetic
I would say it was okay.,neutral,overall,low,none,synthetic
The program was neither inspiring nor disappointing.,neutral,overall,low,none,synthetic
Just standard professional development.,neutral,overall,low,none,synthetic
It was generally fine.,neutral,overall,low,none,synthetic
"I learned some things, but not groundbreaking.",neutral,overall,low,none,synthetic
The experience was middle-of-the-road.,neutral,overall,low,none,synthetic
A serviceable course.,neutral,overall,low,none,synthetic
Nothing to write home about.,neutral,overall,low,none,synthetic
"The curriculum was fine, but lacked spark.",neutral,overall,low,none,synthetic
I am indifferent about the training outcome.,neutral,overall,low,none,synthetic
It delivered on the basic promise.,neutral,overall,low,none,synthetic
"Not a waste of time, but not amazing either.",neutral,overall,low,none,synthetic
The main projector lamp burned out on the second day and was not replaced.,negative,equipment/setup,high,contact venue,synthetic
All the provided desktop computers were infected with a virus.,negative,equipment/setup,high,contact venue,synthetic
The internet connection was intermittent and crashed during the final demo.,negative,equipment/setup,high,contact venue,synthetic
The charging station for laptops was non-functional.,negative,equipment/setup,medium,contact venue,synthetic
The interactive whiteboard was uncalibrated and unusable.,negative,equipment/setup,medium,contact venue,synthetic
Sound system produced terrible static noise throughout the morning.,negative,equipment/setup,high,contact venue,synthetic
"Virtual machines were not pre-loaded as promised, delaying the start by two hours.",negative,equipment/setup,high,inform coordinators,synthetic
The keyboard layout was unfamiliar and difficult to use.,negative,equipment/setup,low,contact venue,synthetic
The specialized lab software would not launch on half the machines.,negative,equipment/setup,high,contact venue,synthetic
Microphone batteries died repeatedly and were not kept charged.,negative,equipment/setup,high,contact venue,synthetic
The HDMI cable was faulty and kept cutting out the display.,negative,equipment/setup,medium,contact venue,synthetic
Insufficient power outlets for the number of participants.,negative,equipment/setup,medium,contact venue,synthetic
The room arrangement made it impossible to see the screen from the back.,negative,equipment/setup,medium,contact venue,synthetic
Training hardware kits were missing crucial components.,negative,equipment/setup,high,inform coordinators,synthetic
"The overhead lights flickered constantly, causing eye strain.",negative,equipment/setup,high,contact venue,synthetic
The screen size was too small for the large class size.,negative,equipment/setup,medium,contact venue,synthetic
The Wi-Fi access point was easily overloaded and kicked people off.,negative,equipment/setup,high,contact venue,synthetic
The provided headphones were dirty and uncomfortable.,negative,equipment/setup,low,contact venue,synthetic
Technical support staff were unresponsive to equipment issues.,negative,equipment/setup,high,contact venue,synthetic
The external speakers had one side completely muted.,negative,equipment/setup,medium,contact venue,synthetic
The remote control for the TV monitor was missing.,negative,equipment/setup,low,contact venue,synthetic
The operating system on the lab machines was severely outdated.,negative,equipment/setup,medium,contact venue,synthetic
"Safety equipment (goggles, gloves) was not provided for the practical segment.",negative,equipment/setup,high,escalate,synthetic
The printer ran out of toner when we needed handouts.,negative,equipment/setup,medium,contact venue,synthetic
The screen resolution was so low it made text unreadable.,negative,equipment/setup,high,contact venue,synthetic
The provided mice were erratic and made precision work impossible.,negative,equipment/setup,medium,contact venue,synthetic
"There was a rat's nest of tangled wires under the table, which was unsafe.",negative,equipment/setup,high,escalate,synthetic
"The presentation software crashed every 30 minutes, wasting significant time.",negative,equipment/setup,high,contact venue,synthetic
"The room was equipped with outdated, noisy servers that hummed loudly.",negative,equipment/setup,medium,contact venue,synthetic
